epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,27488.7,0.68593,0.65206,1.03617,0.43901,0.1832,0.17451,0.11515,2.11972,2.61224,2.09448,6.89475e-05,6.89475e-05,6.89475e-05
87,27798.7,0.66806,0.65514,1.03388,0.42707,0.18011,0.17972,0.11616,2.09481,2.63109,2.07329,6.4641e-05,6.4641e-05,6.4641e-05
88,28104.7,0.67751,0.6267,1.03742,0.4906,0.1744,0.17632,0.11591,2.12652,2.66692,2.0894,6.03345e-05,6.03345e-05,6.03345e-05
89,28401.5,0.64297,0.63089,1.01661,0.47752,0.18437,0.17987,0.11502,2.14161,2.6427,2.08662,5.6028e-05,5.6028e-05,5.6028e-05
90,28696.6,0.67356,0.60478,1.04122,0.55658,0.172,0.18338,0.11857,2.11267,2.63257,2.08402,5.17215e-05,5.17215e-05,5.17215e-05
91,28995.7,0.6197,0.57747,1.0207,0.49836,0.18631,0.1835,0.11917,2.10583,2.62595,2.0837,4.7415e-05,4.7415e-05,4.7415e-05
92,29309,0.59497,0.56133,1.00711,0.49912,0.18355,0.18614,0.11991,2.07438,2.62759,2.05295,4.31085e-05,4.31085e-05,4.31085e-05
93,29609.9,0.5868,0.54422,0.9924,0.44757,0.17723,0.18519,0.11901,2.06364,2.59375,2.03492,3.8802e-05,3.8802e-05,3.8802e-05
94,29912.1,0.57651,0.54857,0.99988,0.52847,0.17735,0.19025,0.11808,2.09934,2.59674,2.04466,3.44955e-05,3.44955e-05,3.44955e-05
95,30213.1,0.59637,0.5261,0.99405,0.52456,0.17948,0.18224,0.11552,2.08913,2.60464,2.06859,3.0189e-05,3.0189e-05,3.0189e-05
96,30513.7,0.55702,0.52818,0.99531,0.50913,0.18211,0.17906,0.11461,2.07941,2.6044,2.06728,2.58825e-05,2.58825e-05,2.58825e-05
97,30818.8,0.55792,0.52218,0.99059,0.50006,0.18105,0.18606,0.11879,2.0841,2.61801,2.06111,2.1576e-05,2.1576e-05,2.1576e-05
98,31124.2,0.55484,0.52947,0.99478,0.50223,0.17939,0.17693,0.11611,2.09926,2.63629,2.06286,1.72695e-05,1.72695e-05,1.72695e-05
99,31429.6,0.54078,0.50735,0.98475,0.49082,0.18082,0.17862,0.11616,2.1041,2.62685,2.06507,1.2963e-05,1.2963e-05,1.2963e-05
100,31739.3,0.55663,0.52963,0.98445,0.38493,0.19523,0.17859,0.11474,2.11208,2.60299,2.07306,8.6565e-06,8.6565e-06,8.6565e-06
